Ventiladores,fecha,numero
total,2020-04-14,1550
disponibles,2020-04-14,564
ocupados,2020-04-14,986
total,2020-04-15,1563
disponibles,2020-04-15,577
ocupados,2020-04-15,986
total,2020-04-16,1582
disponibles,2020-04-16,569
ocupados,2020-04-16,1013
total,2020-04-17,1604
disponibles,2020-04-17,579
ocupados,2020-04-17,1025
total,2020-04-18,1627
disponibles,2020-04-18,588
ocupados,2020-04-18,1039
total,2020-04-19,1627
disponibles,2020-04-19,570
ocupados,2020-04-19,1057
total,2020-04-20,1621
disponibles,2020-04-20,538
ocupados,2020-04-20,1083
total,2020-04-21,1614
disponibles,2020-04-21,521
ocupados,2020-04-21,1093
total,2020-04-22,1619
disponibles,2020-04-22,545
ocupados,2020-04-22,1074
total,2020-04-23,1622
disponibles,2020-04-23,536
ocupados,2020-04-23,1086
total,2020-04-24,1625
disponibles,2020-04-24,541
ocupados,2020-04-24,1084
total,2020-04-25,1630
disponibles,2020-04-25,572
ocupados,2020-04-25,1058
total,2020-04-26,1702
disponibles,2020-04-26,620
ocupados,2020-04-26,1082
total,2020-04-27,1702
disponibles,2020-04-27,592
ocupados,2020-04-27,1110
total,2020-04-28,1700
disponibles,2020-04-28,583
ocupados,2020-04-28,1117
total,2020-04-29,1705
disponibles,2020-04-29,595
ocupados,2020-04-29,1110
total,2020-04-30,1708
disponibles,2020-04-30,608
ocupados,2020-04-30,1100
total,2020-05-01,1710
disponibles,2020-05-01,612
ocupados,2020-05-01,1098
total,2020-05-02,1825
disponibles,2020-05-02,709
ocupados,2020-05-02,1116
total,2020-05-03,1825
disponibles,2020-05-03,674
ocupados,2020-05-03,1151
total,2020-05-04,1825
disponibles,2020-05-04,654
ocupados,2020-05-04,1174
total,2020-05-05,1825
disponibles,2020-05-05,640
ocupados,2020-05-05,1185
total,2020-05-06,1825
disponibles,2020-05-06,636
ocupados,2020-05-06,1189
total,2020-05-07,1825
disponibles,2020-05-07,627
ocupados,2020-05-07,1198
total,2020-05-08,1825
disponibles,2020-05-08,595
ocupados,2020-05-08,1230
total,2020-05-09,1825
disponibles,2020-05-09,549
ocupados,2020-05-09,1276
total,2020-05-10,1825
disponibles,2020-05-10,550
ocupados,2020-05-10,1275
total,2020-05-11,1912
disponibles,2020-05-11,606
ocupados,2020-05-11,1306
total,2020-05-12,1912
disponibles,2020-05-12,582
ocupados,2020-05-12,1330
total,2020-05-13,1912
disponibles,2020-05-13,553
ocupados,2020-05-13,1359
total,2020-05-14,1912
disponibles,2020-05-14,515
ocupados,2020-05-14,1397
total,2020-05-15,1912
disponibles,2020-05-15,419
ocupados,2020-05-15,1493
total,2020-05-16,1912
disponibles,2020-05-16,414
ocupados,2020-05-16,1498
total,2020-05-17,2130
disponibles,2020-05-17,569
ocupados,2020-05-17,1561
total,2020-05-18,2130
disponibles,2020-05-18,526
ocupados,2020-05-18,1604
total,2020-05-19,2130
disponibles,2020-05-19,455
ocupados,2020-05-19,1675
total,2020-05-20,2130
disponibles,2020-05-20,390
ocupados,2020-05-20,1740
total,2020-05-21,2130
disponibles,2020-05-21,332
ocupados,2020-05-21,1798
total,2020-05-22,2177
disponibles,2020-05-22,346
ocupados,2020-05-22,1831
total,2020-05-23,2250
disponibles,2020-05-23,336
ocupados,2020-05-23,1914
total,2020-05-24,2318
disponibles,2020-05-24,348
ocupados,2020-05-24,1970
total,2020-05-25,2347
disponibles,2020-05-25,322
ocupados,2020-05-25,2025
total,2020-05-26,2370
disponibles,2020-05-26,329
ocupados,2020-05-26,2041
total,2020-05-27,2417
disponibles,2020-05-27,331
ocupados,2020-05-27,2086
total,2020-05-28,2479
disponibles,2020-05-28,346
ocupados,2020-05-28,2133
total,2020-05-29,2518
disponibles,2020-05-29,345
ocupados,2020-05-29,2173
total,2020-05-30,2544
disponibles,2020-05-30,345
ocupados,2020-05-30,2173
total,2020-05-31,2576
disponibles,2020-05-31,313
ocupados,2020-05-31,2263
total,2020-06-01,2604
disponibles,2020-06-01,286
ocupados,2020-06-01,2318
total,2020-06-02,2739
disponibles,2020-06-02,340
ocupados,2020-06-02,2399
total,2020-06-03,2739
disponibles,2020-06-03,330
ocupados,2020-06-03,2409
total,2020-06-04,2739
disponibles,2020-06-04,323
ocupados,2020-06-04,2416
total,2020-06-05,2767
disponibles,2020-06-05,327
ocupados,2020-06-05,2440
total,2020-06-06,2774
disponibles,2020-06-06,312
ocupados,2020-06-06,2462
total,2020-06-07,2823
disponibles,2020-06-07,328
ocupados,2020-06-07,2495
total,2020-06-08,2855
disponibles,2020-06-08,321
ocupados,2020-06-08,2534
total,2020-06-09,2906
disponibles,2020-06-09,313
ocupados,2020-06-09,2593
total,2020-06-10,2873
disponibles,2020-06-10,311
ocupados,2020-06-10,2562
total,2020-06-11,2876
disponibles,2020-06-11,331
ocupados,2020-06-11,2545
total,2020-06-12,2863
disponibles,2020-06-12,310
ocupados,2020-06-12,2553
total,2020-06-13,2894
disponibles,2020-06-13,305
ocupados,2020-06-13,2589
total,2020-06-14,2898
disponibles,2020-06-14,306
ocupados,2020-06-14,2592
total,2020-06-15,3017
disponibles,2020-06-15,391
ocupados,2020-06-15,2626
total,2020-06-16,3014
disponibles,2020-06-16,377
ocupados,2020-06-16,2637
total,2020-06-17,3014
disponibles,2020-06-17,356
ocupados,2020-06-17,2658
total,2020-06-18,3014
disponibles,2020-06-18,353
ocupados,2020-06-18,2661
total,2020-06-19,3014
disponibles,2020-06-19,322
ocupados,2020-06-19,2692
total,2020-06-20,3014
disponibles,2020-06-20,311
ocupados,2020-06-20,2703
total,2020-06-21,3018
disponibles,2020-06-21,302
ocupados,2020-06-21,2716
total,2020-06-22,3018
disponibles,2020-06-22,284
ocupados,2020-06-22,2734
total,2020-06-23,3022
disponibles,2020-06-23,257
ocupados,2020-06-23,2765
total,2020-06-24,3023
disponibles,2020-06-24,280
ocupados,2020-06-24,2743
total,2020-06-25,3039
disponibles,2020-06-25,300
ocupados,2020-06-25,2739
total,2020-06-26,3046
disponibles,2020-06-26,305
ocupados,2020-06-26,2741
total,2020-06-27,3040
disponibles,2020-06-27,267
ocupados,2020-06-27,2773
total,2020-06-28,3080
disponibles,2020-06-28,302
ocupados,2020-06-28,2778
total,2020-06-29,3107
disponibles,2020-06-29,291
ocupados,2020-06-29,2816
total,2020-06-30,3114
disponibles,2020-06-30,293
ocupados,2020-06-30,2821
total,2020-07-01,3102
disponibles,2020-07-01,274
ocupados,2020-07-01,2828
total,2020-07-02,3120
disponibles,2020-07-02,276
ocupados,2020-07-02,2844
total,2020-07-03,3135
disponibles,2020-07-03,289
ocupados,2020-07-03,2846
total,2020-07-04,3143
disponibles,2020-07-04,318
ocupados,2020-07-04,2825
total,2020-07-05,3175
disponibles,2020-07-05,350
ocupados,2020-07-05,2825
total,2020-07-06,3170
disponibles,2020-07-06,351
ocupados,2020-07-06,2819
total,2020-07-07,3180
disponibles,2020-07-07,343
ocupados,2020-07-07,2837
total,2020-07-08,3180
disponibles,2020-07-08,364
ocupados,2020-07-08,2816
total,2020-07-09,3200
disponibles,2020-07-09,384
ocupados,2020-07-09,2816
total,2020-07-10,3216
disponibles,2020-07-10,425
ocupados,2020-07-10,2791
total,2020-07-11,3182
disponibles,2020-07-11,453
ocupados,2020-07-11,2729
total,2020-07-12,3184
disponibles,2020-07-12,466
ocupados,2020-07-12,2718
total,2020-07-13,3172
disponibles,2020-07-13,440
ocupados,2020-07-13,2732
total,2020-07-14,3171
disponibles,2020-07-14,427
ocupados,2020-07-14,2744
total,2020-07-15,3170
disponibles,2020-07-15,436
ocupados,2020-07-15,2734
total,2020-07-16,3166
disponibles,2020-07-16,467
ocupados,2020-07-16,2699
total,2020-07-17,3160
disponibles,2020-07-17,490
ocupados,2020-07-17,2670
total,2020-07-18,3153
disponibles,2020-07-18,477
ocupados,2020-07-18,2676
total,2020-07-19,3142
disponibles,2020-07-19,444
ocupados,2020-07-19,2698
total,2020-07-20,3136
disponibles,2020-07-20,465
ocupados,2020-07-20,2671
total,2020-07-21,3131
disponibles,2020-07-21,459
ocupados,2020-07-21,2672
total,2020-07-22,3123
disponibles,2020-07-22,480
ocupados,2020-07-22,2643
total,2020-07-23,3107
disponibles,2020-07-23,498
ocupados,2020-07-23,2609
total,2020-07-24,3101
disponibles,2020-07-24,527
ocupados,2020-07-24,2574
total,2020-07-25,3104
disponibles,2020-07-25,504
ocupados,2020-07-25,2600
total,2020-07-26,3085
disponibles,2020-07-26,528
ocupados,2020-07-26,2557
total,2020-07-27,3079
disponibles,2020-07-27,521
ocupados,2020-07-27,2558
total,2020-07-28,3076
disponibles,2020-07-28,523
ocupados,2020-07-28,2553
total,2020-07-29,3052
disponibles,2020-07-29,512
ocupados,2020-07-29,2540
total,2020-07-30,3018
disponibles,2020-07-30,501
ocupados,2020-07-30,2517
total,2020-07-31,3004
disponibles,2020-07-31,512
ocupados,2020-07-31,2492
total,2020-08-01,3001
disponibles,2020-08-01,551
ocupados,2020-08-01,2450
total,2020-08-02,2943
disponibles,2020-08-02,562
ocupados,2020-08-02,2381
total,2020-08-03,2951
disponibles,2020-08-03,568
ocupados,2020-08-03,2383
total,2020-08-04,2949
disponibles,2020-08-04,580
ocupados,2020-08-04,2369
total,2020-08-05,2939
disponibles,2020-08-05,548
ocupados,2020-08-05,2391
total,2020-08-06,2888
disponibles,2020-08-06,521
ocupados,2020-08-06,2367
total,2020-08-07,2881
disponibles,2020-08-07,539
ocupados,2020-08-07,2342
total,2020-08-08,2877
disponibles,2020-08-08,567
ocupados,2020-08-08,2310
total,2020-08-09,2837
disponibles,2020-08-09,602
ocupados,2020-08-09,2235
total,2020-08-10,2834
disponibles,2020-08-10,601
ocupados,2020-08-10,2233
total,2020-08-11,2835
disponibles,2020-08-11,570
ocupados,2020-08-11,2265
total,2020-08-12,2782
disponibles,2020-08-12,522
ocupados,2020-08-12,2260
total,2020-08-13,2761
disponibles,2020-08-13,509
ocupados,2020-08-13,2252
total,2020-08-14,2733
disponibles,2020-08-14,522
ocupados,2020-08-14,2211
total,2020-08-15,2717
disponibles,2020-08-15,518
ocupados,2020-08-15,2199
total,2020-08-16,2717
disponibles,2020-08-16,518
ocupados,2020-08-16,2199
total,2020-08-17,2701
disponibles,2020-08-17,557
ocupados,2020-08-17,2144
total,2020-08-18,2689
disponibles,2020-08-18,549
ocupados,2020-08-18,2140
total,2020-08-19,2708
disponibles,2020-08-19,582
ocupados,2020-08-19,2126
total,2020-08-20,2707
disponibles,2020-08-20,566
ocupados,2020-08-20,2141
total,2020-08-21,2688
disponibles,2020-08-21,550
ocupados,2020-08-21,2138
total,2020-08-22,2688
disponibles,2020-08-22,550
ocupados,2020-08-22,2138
total,2020-08-23,2663
disponibles,2020-08-23,577
ocupados,2020-08-23,2086
total,2020-08-24,2658
disponibles,2020-08-24,582
ocupados,2020-08-24,2076
total,2020-08-25,2660
disponibles,2020-08-25,565
ocupados,2020-08-25,2095
total,2020-08-26,2672
disponibles,2020-08-26,551
ocupados,2020-08-26,2121
total,2020-08-27,2655
disponibles,2020-08-27,540
ocupados,2020-08-27,2115
total,2020-08-28,2648
disponibles,2020-08-28,538
ocupados,2020-08-28,2110
total,2020-08-29,2657
disponibles,2020-08-29,561
ocupados,2020-08-29,2096
total,2020-08-30,2648
disponibles,2020-08-30,535
ocupados,2020-08-30,2113
total,2020-08-31,2648
disponibles,2020-08-31,540
ocupados,2020-08-31,2108
total,2020-09-01,2644
disponibles,2020-09-01,534
ocupados,2020-09-01,2110
total,2020-09-02,2628
disponibles,2020-09-02,507
ocupados,2020-09-02,2121
total,2020-09-03,2611
disponibles,2020-09-03,485
ocupados,2020-09-03,2126
total,2020-09-04,2606
disponibles,2020-09-04,495
ocupados,2020-09-04,2111
total,2020-09-05,2598
disponibles,2020-09-05,490
ocupados,2020-09-05,2108
total,2020-09-06,2598
disponibles,2020-09-06,496
ocupados,2020-09-06,2102
